,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-07-30,15.0,15.4,14.5,14.5,13.598859,8347900
1,2021-08-02,15.2,15.78,15.09,15.28,14.330385,3160800
2,2021-08-03,15.43,15.49,14.99,15.06,14.124057,1434500
3,2021-08-04,15.0,15.69,15.0,15.08,14.142813,1719700
4,2021-08-05,15.33,15.49,15.01,15.12,14.180328,837100
5,2021-08-06,15.03,15.36,15.03,15.05,14.114678,526100
6,2021-08-09,15.27,15.39,15.115,15.21,14.264735,624100
7,2021-08-10,15.4,15.48,15.25,15.36,14.405411,1659300
8,2021-08-11,15.5,15.75,15.33,15.33,14.377276,611900
9,2021-08-12,15.35,15.63,15.25,15.26,14.311627,459000
10,2021-08-13,15.43,15.8,15.32,15.78,14.79931,622700
11,2021-08-16,16.0,16.059999,15.85,15.96,14.968123,1012700
12,2021-08-17,15.96,16.02,15.3,15.63,14.658633,1203300
13,2021-08-18,15.74,15.83,15.49,15.5,14.536712,438600
14,2021-08-19,15.35,15.56,15.23,15.26,14.311627,290600
15,2021-08-20,15.22,15.95,15.22,15.88,14.893093,247900
16,2021-08-23,15.95,16.15,15.585,16.049999,15.05253,863200
17,2021-08-24,16.299999,16.530001,15.5,16.09,15.090045,2242900
18,2021-08-25,16.09,16.200001,15.8,16.059999,15.061908,493700
19,2021-08-26,16.040001,16.33,16.0,16.32,15.305748,294500
20,2021-08-27,16.450001,16.49,16.23,16.27,15.258858,359000
21,2021-08-30,16.34,16.4,15.92,15.93,14.939987,429500
22,2021-08-31,16.02,16.27,15.9,16.049999,15.05253,470600
23,2021-09-01,16.25,16.379999,16.1,16.360001,15.343265,299600
24,2021-09-02,16.450001,16.450001,16.200001,16.23,15.221342,183400
25,2021-09-03,16.290001,16.337999,15.72,15.79,14.808687,284400
26,2021-09-07,15.81,16.0,15.3,15.36,14.405411,365300
27,2021-09-08,15.3,15.3,15.0,15.0,14.067785,465900
28,2021-09-09,15.0,15.18,14.76,14.78,13.861458,880500
29,2021-09-10,14.9,14.978,14.6,14.7,13.786428,389000
30,2021-09-13,14.9,15.01,14.75,14.78,13.861458,339800
31,2021-09-14,14.85,14.86,14.65,14.72,13.805185,264200
32,2021-09-15,14.66,14.95,14.58,14.87,13.945865,529400
33,2021-09-16,15.1,15.125,14.79,14.81,13.889594,909400
34,2021-09-17,14.85,15.04,14.83,14.88,13.955243,1694600
35,2021-09-20,14.75,15.29,14.67,15.28,14.330385,352100
36,2021-09-21,15.36,15.79,15.2,15.29,14.339762,785200
37,2021-09-22,15.47,15.54,14.9,14.92,13.992757,408700
38,2021-09-23,15.01,15.12,14.76,14.96,14.030271,470800
39,2021-09-24,14.88,15.15,14.86,14.89,13.964622,273300
40,2021-09-27,14.84,14.95,14.62,14.67,13.758295,508400
41,2021-09-28,14.76,15.19,14.73,15.02,14.086542,485900
42,2021-09-29,14.98,16.149,14.98,15.85,14.864959,1818600
43,2021-09-30,17.190001,17.66,16.26,16.959999,15.905975,4134400
44,2021-10-01,17.110001,17.16,15.37,15.71,14.73366,1309400
45,2021-10-04,15.67,15.83,15.05,15.18,14.236598,943900
46,2021-10-05,15.25,15.48,15.161,15.31,14.358521,368500
47,2021-10-06,15.3,15.576,15.2,15.48,14.517955,243100
48,2021-10-07,15.36,15.58,15.12,15.2,14.255357,462600
49,2021-10-08,15.09,15.239,14.92,14.97,14.039649,488700
50,2021-10-11,14.97,15.39,14.97,15.32,14.367898,161000
51,2021-10-12,15.34,15.34,15.05,15.12,14.180328,246100
52,2021-10-13,15.1,15.25,15.0,15.01,14.077164,161900
53,2021-10-14,15.03,15.18,14.85,14.96,14.030271,299700
54,2021-10-15,15.06,15.18,14.95,15.04,14.105299,137300
55,2021-10-18,15.0,15.0,14.75,14.85,13.927108,348500
56,2021-10-19,14.76,14.91,14.6,14.91,13.983378,438300
57,2021-10-20,14.92,15.432,14.9,15.32,14.367898,352900
58,2021-10-21,15.32,15.5,15.2,15.43,14.471061,221900
59,2021-10-22,15.39,15.45,15.21,15.25,14.302248,268600
60,2021-10-25,15.27,15.27,14.61,14.78,13.861458,884500
61,2021-10-26,14.83,14.93,14.62,14.66,13.748914,459200
62,2021-10-27,14.66,14.82,14.441,14.72,13.805185,486500
63,2021-10-28,14.75,14.88,14.43,14.58,13.673887,431200
64,2021-10-29,14.53,14.8,14.48,14.6,13.692643,585000
65,2021-11-01,14.78,15.01,14.51,14.9,13.973998,401500
66,2021-11-02,14.89,14.9,14.6,14.75,13.833323,222500
67,2021-11-03,14.77,14.85,14.28,14.36,13.467559,726200
68,2021-11-04,14.38,14.38,13.505,13.72,12.867335,1379700
69,2021-11-05,13.9,13.91,13.61,13.65,12.801684,420500
70,2021-11-08,13.79,13.83,13.52,13.63,12.782927,391700
71,2021-11-09,13.7,14.16,13.54,14.05,13.176827,439600
72,2021-11-10,14.2,14.39,13.89,14.0,13.129932,493700
73,2021-11-11,14.13,14.13,13.83,13.91,13.045527,144800
74,2021-11-12,13.91,14.116,13.73,14.0,13.129932,261800
75,2021-11-15,14.01,14.28,14.0,14.25,13.364396,237900
76,2021-11-16,14.18,14.25,13.92,13.93,13.064283,224100
77,2021-11-17,13.93,14.04,13.65,13.74,12.88609,647200
78,2021-11-18,13.8,13.923,13.64,13.81,12.951741,429400
79,2021-11-19,13.7,13.83,13.49,13.52,12.679766,241400
80,2021-11-22,13.55,13.86,13.49,13.81,12.951741,332100
81,2021-11-23,13.8,13.865,13.23,13.33,12.501571,366100
82,2021-11-24,13.41,13.747,13.16,13.72,12.867335,556000
83,2021-11-26,13.5,13.633,13.1,13.28,12.454679,343700
84,2021-11-29,13.4,13.41,13.0,13.02,12.210837,296400
85,2021-11-30,12.97,13.0,12.65,12.93,12.12643,453100
86,2021-12-01,13.14,13.22,12.82,12.86,12.060781,479200
87,2021-12-02,12.81,13.254,12.75,13.16,12.342136,786500
88,2021-12-03,13.08,13.52,12.15,12.82,12.023268,1514400
89,2021-12-06,13.02,13.05,12.44,12.81,12.01389,587700
90,2021-12-07,12.74,12.98,12.6,12.75,11.957619,662600
91,2021-12-08,12.75,12.84,12.43,12.67,11.88259,575800
92,2021-12-09,12.56,13.02,12.55,12.96,12.154566,809800
93,2021-12-10,13.01,13.43,12.83,13.22,12.398409,737800
94,2021-12-13,13.22,13.62,13.22,13.53,12.689142,490100
95,2021-12-14,13.51,13.52,12.86,12.9,12.098293,499900
96,2021-12-15,12.92,13.09,12.37,12.94,12.135809,744500
97,2021-12-16,12.93,13.49,12.76,13.31,12.560469,508600
98,2021-12-17,13.26,13.78,13.19,13.67,12.900195,719500
99,2021-12-20,13.59,13.59,13.15,13.46,12.702021,538600
100,2021-12-21,13.5,13.7,13.08,13.11,12.37173,393200
101,2021-12-22,13.11,13.43,13.0,13.21,12.466099,590300
102,2021-12-23,13.2,13.32,12.91,13.09,12.352858,1348100
103,2021-12-27,13.11,13.18,12.855,13.05,12.315109,660500
104,2021-12-28,13.05,13.23,12.96,13.1,12.362295,580300
105,2021-12-29,13.16,13.18,12.76,12.79,12.06975,548300
106,2021-12-30,12.87,13.27,12.81,13.12,12.381168,577500
107,2021-12-31,13.08,13.4,13.05,13.32,12.569905,231800
